timestamp,ip_origen,ip_destino,puerto_origen,puerto_destino,protocolo,tamano
1738812697.844571,Desconocido,Desconocido,N/A,N/A,Otro,42
1738812697.844588,Desconocido,Desconocido,N/A,N/A,Otro,42
1738812698.672089,192.168.1.7,190.99.74.45,43833,443,UDP,1288
1738812698.672138,192.168.1.7,190.99.74.45,43833,443,UDP,1292
1738812698.672941,192.168.1.7,190.99.74.45,43833,443,UDP,361
1738812698.677736,190.99.74.45,192.168.1.7,443,43833,UDP,166
1738812698.679905,190.99.74.45,192.168.1.7,443,43833,UDP,1288
1738812698.679906,190.99.74.45,192.168.1.7,443,43833,UDP,1292
1738812698.679956,190.99.74.45,192.168.1.7,443,43833,UDP,1292
1738812698.679973,192.168.1.7,190.99.74.45,43833,443,UDP,79
1738812698.680273,190.99.74.45,192.168.1.7,443,43833,UDP,1292
1738812698.681135,192.168.1.7,8.8.8.8,33928,53,UDP,103
1738812698.681239,192.168.1.7,8.8.8.8,51469,53,UDP,103
1738812698.681499,192.168.1.7,190.99.74.45,43833,443,UDP,75
1738812698.681779,190.99.74.45,192.168.1.7,443,43833,UDP,1292
1738812698.682456,190.99.74.45,192.168.1.7,443,43833,UDP,1292
1738812698.682456,190.99.74.45,192.168.1.7,443,43833,UDP,1292
1738812698.682533,190.99.74.45,192.168.1.7,443,43833,UDP,1292
1738812698.682892,190.99.74.45,192.168.1.7,443,43833,UDP,1292
1738812698.682892,190.99.74.45,192.168.1.7,443,43833,UDP,1292
1738812698.682955,192.168.1.7,190.99.74.45,43833,443,UDP,74
1738812698.683171,190.99.74.45,192.168.1.7,443,43833,UDP,1292
1738812698.683171,190.99.74.45,192.168.1.7,443,43833,UDP,1292
1738812698.684782,192.168.1.7,190.99.74.45,43833,443,UDP,75
1738812698.687535,190.99.74.45,192.168.1.7,443,43833,UDP,1292
1738812698.687535,190.99.74.45,192.168.1.7,443,43833,UDP,1292
1738812698.687892,190.99.74.45,192.168.1.7,443,43833,UDP,1292
1738812698.687892,190.99.74.45,192.168.1.7,443,43833,UDP,1292
1738812698.688252,190.99.74.45,192.168.1.7,443,43833,UDP,1292
1738812698.688252,190.99.74.45,192.168.1.7,443,43833,UDP,1292
1738812698.688624,190.99.74.45,192.168.1.7,443,43833,UDP,1292
1738812698.688625,190.99.74.45,192.168.1.7,443,43833,UDP,1292
1738812698.688736,192.168.1.7,190.99.74.45,43833,443,UDP,74
1738812698.688974,190.99.74.45,192.168.1.7,443,43833,UDP,1292
1738812698.688974,190.99.74.45,192.168.1.7,443,43833,UDP,1292
1738812698.689358,190.99.74.45,192.168.1.7,443,43833,UDP,1292
1738812698.689358,190.99.74.45,192.168.1.7,443,43833,UDP,1292
1738812698.689709,190.99.74.45,192.168.1.7,443,43833,UDP,1292
1738812698.689888,192.168.1.7,190.99.74.45,43833,443,UDP,74
1738812698.690183,190.99.74.45,192.168.1.7,443,43833,UDP,1292
1738812698.690502,190.99.74.45,192.168.1.7,443,43833,UDP,1292
1738812698.690502,190.99.74.45,192.168.1.7,443,43833,UDP,1292
1738812698.690799,190.99.74.45,192.168.1.7,443,43833,UDP,1292
1738812698.69128,190.99.74.45,192.168.1.7,443,43833,UDP,1292
1738812698.69128,190.99.74.45,192.168.1.7,443,43833,UDP,1292
1738812698.691367,190.99.74.45,192.168.1.7,443,43833,UDP,1292
1738812698.691379,192.168.1.7,190.99.74.45,43833,443,UDP,74
1738812698.691673,190.99.74.45,192.168.1.7,443,43833,UDP,1292
1738812698.691673,190.99.74.45,192.168.1.7,443,43833,UDP,1292
1738812698.69201,190.99.74.45,192.168.1.7,443,43833,UDP,1292
1738812698.69201,190.99.74.45,192.168.1.7,443,43833,UDP,1292
1738812698.692495,192.168.1.7,190.99.74.45,43833,443,UDP,74
1738812698.693564,190.99.74.45,192.168.1.7,443,43833,UDP,1292
1738812698.694033,190.99.74.45,192.168.1.7,443,43833,UDP,1292
1738812698.694033,190.99.74.45,192.168.1.7,443,43833,UDP,1292
1738812698.694327,190.99.74.45,192.168.1.7,443,43833,UDP,1292
1738812698.694327,190.99.74.45,192.168.1.7,443,43833,UDP,1292
1738812698.694623,190.99.74.45,192.168.1.7,443,43833,UDP,1292
1738812698.694623,190.99.74.45,192.168.1.7,443,43833,UDP,1292
1738812698.694698,192.168.1.7,190.99.74.45,43833,443,UDP,74
1738812698.694902,190.99.74.45,192.168.1.7,443,43833,UDP,1292
1738812698.695652,190.99.74.45,192.168.1.7,443,43833,UDP,1292
1738812698.695796,192.168.1.7,190.99.74.45,43833,443,UDP,74
1738812698.696085,190.99.74.45,192.168.1.7,443,43833,UDP,1292
1738812698.696085,190.99.74.45,192.168.1.7,443,43833,UDP,1292
1738812698.696412,190.99.74.45,192.168.1.7,443,43833,UDP,1292
1738812698.69781,192.168.1.7,190.99.74.45,43833,443,UDP,75
1738812698.698792,190.99.74.45,192.168.1.7,443,43833,UDP,1292
1738812698.698792,190.99.74.45,192.168.1.7,443,43833,UDP,1292
1738812698.698864,190.99.74.45,192.168.1.7,443,43833,UDP,1292
1738812698.69923,190.99.74.45,192.168.1.7,443,43833,UDP,1292
1738812698.69923,190.99.74.45,192.168.1.7,443,43833,UDP,1292
1738812698.699305,190.99.74.45,192.168.1.7,443,43833,UDP,1292
1738812698.699667,190.99.74.45,192.168.1.7,443,43833,UDP,1292
1738812698.699667,190.99.74.45,192.168.1.7,443,43833,UDP,1292
1738812698.699955,192.168.1.7,190.99.74.45,43833,443,UDP,74
1738812698.701274,8.8.8.8,192.168.1.7,53,51469,UDP,268
1738812698.701681,192.168.1.7,8.8.8.8,51935,53,UDP,113
1738812698.701979,190.99.74.45,192.168.1.7,443,43833,UDP,1292
1738812698.701997,190.99.74.45,192.168.1.7,443,43833,UDP,1292
1738812698.702368,190.99.74.45,192.168.1.7,443,43833,UDP,1292
1738812698.702369,190.99.74.45,192.168.1.7,443,43833,UDP,1292
1738812698.702665,190.99.74.45,192.168.1.7,443,43833,UDP,1292
1738812698.702665,190.99.74.45,192.168.1.7,443,43833,UDP,1292
1738812698.702958,190.99.74.45,192.168.1.7,443,43833,UDP,1292
1738812698.702958,190.99.74.45,192.168.1.7,443,43833,UDP,1292
1738812698.703088,192.168.1.7,190.99.74.45,43833,443,UDP,75
1738812698.703374,190.99.74.45,192.168.1.7,443,43833,UDP,1292
1738812698.703727,190.99.74.45,192.168.1.7,443,43833,UDP,1292
1738812698.703727,190.99.74.45,192.168.1.7,443,43833,UDP,1292
1738812698.704024,190.99.74.45,192.168.1.7,443,43833,UDP,1292
1738812698.704496,190.99.74.45,192.168.1.7,443,43833,UDP,1292
1738812698.704496,190.99.74.45,192.168.1.7,443,43833,UDP,1292
1738812698.704568,192.168.1.7,190.99.74.45,43833,443,UDP,75
1738812698.705386,190.99.74.45,192.168.1.7,443,43833,UDP,1292
1738812698.705386,190.99.74.45,192.168.1.7,443,43833,UDP,1292
1738812698.705881,8.8.8.8,192.168.1.7,53,33928,UDP,223
1738812698.705881,190.99.74.45,192.168.1.7,443,43833,UDP,1292
1738812698.7059,192.168.1.7,190.99.74.45,43833,443,UDP,75
1738812698.705962,190.99.74.45,192.168.1.7,443,43833,UDP,1292
1738812698.706659,190.99.74.45,192.168.1.7,443,43833,UDP,1292
1738812698.706659,190.99.74.45,192.168.1.7,443,43833,UDP,1292
1738812698.706727,190.99.74.45,192.168.1.7,443,43833,UDP,1292
1738812698.707088,190.99.74.45,192.168.1.7,443,43833,UDP,1292
1738812698.707088,190.99.74.45,192.168.1.7,443,43833,UDP,1292
1738812698.707133,192.168.1.7,190.99.74.45,43833,443,UDP,75
1738812698.707606,190.99.74.45,192.168.1.7,443,43833,UDP,1292
1738812698.707638,190.99.74.45,192.168.1.7,443,43833,UDP,1292
1738812698.709052,192.168.1.7,190.99.74.45,43833,443,UDP,76
1738812698.71054,190.99.74.45,192.168.1.7,443,43833,UDP,1292
1738812698.71054,190.99.74.45,192.168.1.7,443,43833,UDP,1292
1738812698.710899,190.99.74.45,192.168.1.7,443,43833,UDP,1292
1738812698.710899,190.99.74.45,192.168.1.7,443,43833,UDP,1292
1738812698.711266,190.99.74.45,192.168.1.7,443,43833,UDP,1292
1738812698.711266,190.99.74.45,192.168.1.7,443,43833,UDP,1292
1738812698.711638,190.99.74.45,192.168.1.7,443,43833,UDP,1292
1738812698.711638,190.99.74.45,192.168.1.7,443,43833,UDP,1292
1738812698.711739,192.168.1.7,190.99.74.45,43833,443,UDP,75
1738812698.711983,190.99.74.45,192.168.1.7,443,43833,UDP,1292
1738812698.711983,190.99.74.45,192.168.1.7,443,43833,UDP,1292
1738812698.712364,190.99.74.45,192.168.1.7,443,43833,UDP,1292
1738812698.712839,190.99.74.45,192.168.1.7,443,43833,UDP,1292
1738812698.712839,190.99.74.45,192.168.1.7,443,43833,UDP,1292
1738812698.712853,192.168.1.7,190.99.74.45,43833,443,UDP,75
1738812698.713659,190.99.74.45,192.168.1.7,443,43833,UDP,1292
1738812698.713659,190.99.74.45,192.168.1.7,443,43833,UDP,1292
1738812698.713734,190.99.74.45,192.168.1.7,443,43833,UDP,1292
1738812698.713997,192.168.1.7,190.99.74.45,43833,443,UDP,75
1738812698.714104,190.99.74.45,192.168.1.7,443,43833,UDP,1292
1738812698.714104,190.99.74.45,192.168.1.7,443,43833,UDP,1292
1738812698.714174,190.99.74.45,192.168.1.7,443,43833,UDP,1292
1738812698.71487,190.99.74.45,192.168.1.7,443,43833,UDP,1292
1738812698.71487,190.99.74.45,192.168.1.7,443,43833,UDP,1292
1738812698.715164,190.99.74.45,192.168.1.7,443,43833,UDP,1292
1738812698.715164,190.99.74.45,192.168.1.7,443,43833,UDP,1292
1738812698.715265,192.168.1.7,190.99.74.45,43833,443,UDP,80
1738812698.715436,190.99.74.45,192.168.1.7,443,43833,UDP,1292
1738812698.715931,190.99.74.45,192.168.1.7,443,43833,UDP,1292
1738812698.715931,190.99.74.45,192.168.1.7,443,43833,UDP,1292
1738812698.716002,190.99.74.45,192.168.1.7,443,43833,UDP,1292
1738812698.716383,192.168.1.7,190.99.74.45,43833,443,UDP,75
1738812698.718836,190.99.74.45,192.168.1.7,443,43833,UDP,1292
1738812698.718836,190.99.74.45,192.168.1.7,443,43833,UDP,1292
1738812698.71891,190.99.74.45,192.168.1.7,443,43833,UDP,1292
1738812698.71927,190.99.74.45,192.168.1.7,443,43833,UDP,1292
1738812698.720766,192.168.1.7,190.99.74.45,43833,443,UDP,76
1738812698.721106,190.99.74.45,192.168.1.7,443,43833,UDP,1292
1738812698.721439,190.99.74.45,192.168.1.7,443,43833,UDP,1292
1738812698.721439,190.99.74.45,192.168.1.7,443,43833,UDP,1292
1738812698.721732,190.99.74.45,192.168.1.7,443,43833,UDP,1292
1738812698.721733,190.99.74.45,192.168.1.7,443,43833,UDP,1292
1738812698.722033,190.99.74.45,192.168.1.7,443,43833,UDP,1292
1738812698.722034,190.99.74.45,192.168.1.7,443,43833,UDP,1292
1738812698.722239,192.168.1.7,190.99.74.45,43833,443,UDP,74
1738812698.722334,190.99.74.45,192.168.1.7,443,43833,UDP,1292
1738812698.722334,190.99.74.45,192.168.1.7,443,43833,UDP,1292
1738812698.722418,190.99.74.45,192.168.1.7,443,43833,UDP,1292
1738812698.722705,190.99.74.45,192.168.1.7,443,43833,UDP,1292
1738812698.722705,190.99.74.45,192.168.1.7,443,43833,UDP,1292
1738812698.723409,190.99.74.45,192.168.1.7,443,43833,UDP,1292
1738812698.723409,190.99.74.45,192.168.1.7,443,43833,UDP,1292
1738812698.723474,190.99.74.45,192.168.1.7,443,43833,UDP,1292
1738812698.723528,192.168.1.7,190.99.74.45,43833,443,UDP,74
1738812698.723815,190.99.74.45,192.168.1.7,443,43833,UDP,1292
1738812698.725176,192.168.1.7,192.168.1.10,44624,8009,TCP,176
1738812698.725257,192.168.1.7,190.99.74.45,43833,443,UDP,75
1738812698.725467,190.99.74.45,192.168.1.7,443,43833,UDP,1292
1738812698.725491,190.99.74.45,192.168.1.7,443,43833,UDP,1292
1738812698.725491,190.99.74.45,192.168.1.7,443,43833,UDP,1292
1738812698.725491,190.99.74.45,192.168.1.7,443,43833,UDP,1292
1738812698.725902,190.99.74.45,192.168.1.7,443,43833,UDP,1292
1738812698.725902,190.99.74.45,192.168.1.7,443,43833,UDP,1292
1738812698.726268,190.99.74.45,192.168.1.7,443,43833,UDP,1292
1738812698.726268,190.99.74.45,192.168.1.7,443,43833,UDP,1292
1738812698.726705,192.168.1.7,190.99.74.45,43833,443,UDP,74
1738812698.726914,190.99.74.45,192.168.1.7,443,43833,UDP,1292
1738812698.726914,190.99.74.45,192.168.1.7,443,43833,UDP,1292
1738812698.727821,190.99.74.45,192.168.1.7,443,43833,UDP,1292
1738812698.727821,190.99.74.45,192.168.1.7,443,43833,UDP,1292
1738812698.727891,190.99.74.45,192.168.1.7,443,43833,UDP,1292
1738812698.728077,192.168.1.7,190.99.74.45,43833,443,UDP,74
1738812698.729504,190.99.74.45,192.168.1.7,443,43833,UDP,1292
1738812698.729504,190.99.74.45,192.168.1.7,443,43833,UDP,1292
1738812698.729565,190.99.74.45,192.168.1.7,443,43833,UDP,1292
1738812698.729923,190.99.74.45,192.168.1.7,443,43833,UDP,1292
1738812698.729923,190.99.74.45,192.168.1.7,443,43833,UDP,1292
1738812698.730221,190.99.74.45,192.168.1.7,443,43833,UDP,1292
1738812698.730221,190.99.74.45,192.168.1.7,443,43833,UDP,1292
1738812698.730699,192.168.1.7,190.99.74.45,43833,443,UDP,74
1738812698.733419,190.99.74.45,192.168.1.7,443,43833,UDP,1292
1738812698.733419,190.99.74.45,192.168.1.7,443,43833,UDP,1292
1738812698.733486,190.99.74.45,192.168.1.7,443,43833,UDP,1292
1738812698.733844,190.99.74.45,192.168.1.7,443,43833,UDP,1292
1738812698.733844,190.99.74.45,192.168.1.7,443,43833,UDP,1292
1738812698.734145,190.99.74.45,192.168.1.7,443,43833,UDP,1292
1738812698.734145,190.99.74.45,192.168.1.7,443,43833,UDP,1292
1738812698.734228,190.99.74.45,192.168.1.7,443,43833,UDP,1292
1738812698.734594,190.99.74.45,192.168.1.7,443,43833,UDP,1292
1738812698.734594,190.99.74.45,192.168.1.7,443,43833,UDP,1292
1738812698.734667,190.99.74.45,192.168.1.7,443,43833,UDP,1292
1738812698.734738,192.168.1.7,190.99.74.45,43833,443,UDP,74
1738812698.735024,190.99.74.45,192.168.1.7,443,43833,UDP,1292
1738812698.735024,190.99.74.45,192.168.1.7,443,43833,UDP,1292
1738812698.735329,190.99.74.45,192.168.1.7,443,43833,UDP,1292
1738812698.735329,190.99.74.45,192.168.1.7,443,43833,UDP,1292
1738812698.735405,190.99.74.45,192.168.1.7,443,43833,UDP,1292
1738812698.735963,192.168.1.10,192.168.1.7,8009,44624,TCP,176
1738812698.735986,192.168.1.7,192.168.1.10,44624,8009,TCP,66
1738812698.736157,192.168.1.7,190.99.74.45,43833,443,UDP,75
1738812698.737006,190.99.74.45,192.168.1.7,443,43833,UDP,1292
1738812698.737006,190.99.74.45,192.168.1.7,443,43833,UDP,1292
1738812698.737083,190.99.74.45,192.168.1.7,443,43833,UDP,1292
1738812698.737447,190.99.74.45,192.168.1.7,443,43833,UDP,1292
1738812698.737447,190.99.74.45,192.168.1.7,443,43833,UDP,1292
1738812698.737747,190.99.74.45,192.168.1.7,443,43833,UDP,1292
1738812698.737747,190.99.74.45,192.168.1.7,443,43833,UDP,1292
1738812698.73804,190.99.74.45,192.168.1.7,443,43833,UDP,1292
1738812698.73804,190.99.74.45,192.168.1.7,443,43833,UDP,1292
1738812698.738172,192.168.1.7,190.99.74.45,43833,443,UDP,75
1738812698.738318,190.99.74.45,192.168.1.7,443,43833,UDP,1292
1738812698.738318,190.99.74.45,192.168.1.7,443,43833,UDP,1292
1738812698.738632,190.99.74.45,192.168.1.7,443,43833,UDP,1292
1738812698.738632,190.99.74.45,192.168.1.7,443,43833,UDP,1292
1738812698.738933,190.99.74.45,192.168.1.7,443,43833,UDP,1292
1738812698.738933,190.99.74.45,192.168.1.7,443,43833,UDP,1292
1738812698.739006,190.99.74.45,192.168.1.7,443,43833,UDP,1292
1738812698.739325,192.168.1.7,190.99.74.45,43833,443,UDP,75
1738812698.739387,190.99.74.45,192.168.1.7,443,43833,UDP,1292
1738812698.739387,190.99.74.45,192.168.1.7,443,43833,UDP,1292
1738812698.739451,190.99.74.45,192.168.1.7,443,43833,UDP,1292
1738812698.739811,190.99.74.45,192.168.1.7,443,43833,UDP,1292
1738812698.74037,190.99.74.45,192.168.1.7,443,43833,UDP,1292
1738812698.74037,190.99.74.45,192.168.1.7,443,43833,UDP,1292
1738812698.740507,192.168.1.7,190.99.74.45,43833,443,UDP,75
1738812698.741875,190.99.74.45,192.168.1.7,443,43833,UDP,1292
1738812698.741876,190.99.74.45,192.168.1.7,443,43833,UDP,1292
1738812698.741937,190.99.74.45,192.168.1.7,443,43833,UDP,1292
1738812698.742063,192.168.1.7,190.99.74.45,43833,443,UDP,75
1738812698.742284,190.99.74.45,192.168.1.7,443,43833,UDP,1292
1738812698.742285,190.99.74.45,192.168.1.7,443,43833,UDP,1292
1738812698.742597,190.99.74.45,192.168.1.7,443,43833,UDP,1292
1738812698.742597,190.99.74.45,192.168.1.7,443,43833,UDP,1292
1738812698.742673,190.99.74.45,192.168.1.7,443,43833,UDP,1292
1738812698.743167,192.168.1.7,190.99.74.45,43833,443,UDP,75
1738812698.744415,190.99.74.45,192.168.1.7,443,43833,UDP,1292
1738812698.744415,190.99.74.45,192.168.1.7,443,43833,UDP,1292
1738812698.744493,190.99.74.45,192.168.1.7,443,43833,UDP,1292
1738812698.74485,190.99.74.45,192.168.1.7,443,43833,UDP,1292
1738812698.74485,190.99.74.45,192.168.1.7,443,43833,UDP,1292
1738812698.745146,190.99.74.45,192.168.1.7,443,43833,UDP,1292
1738812698.745146,190.99.74.45,192.168.1.7,443,43833,UDP,1292
1738812698.74544,190.99.74.45,192.168.1.7,443,43833,UDP,1292
1738812698.74544,190.99.74.45,192.168.1.7,443,43833,UDP,1292
1738812698.745561,192.168.1.7,190.99.74.45,43833,443,UDP,75
1738812698.745729,190.99.74.45,192.168.1.7,443,43833,UDP,1292
1738812698.745729,190.99.74.45,192.168.1.7,443,43833,UDP,1292
1738812698.746038,190.99.74.45,192.168.1.7,443,43833,UDP,1292
1738812698.746038,190.99.74.45,192.168.1.7,443,43833,UDP,1292
1738812698.746115,190.99.74.45,192.168.1.7,443,43833,UDP,1292
1738812698.74675,192.168.1.7,190.99.74.45,43833,443,UDP,75
1738812698.746822,190.99.74.45,192.168.1.7,443,43833,UDP,1292
1738812698.746822,190.99.74.45,192.168.1.7,443,43833,UDP,1292
1738812698.748547,192.168.1.7,190.99.74.45,43833,443,UDP,76
1738812698.749615,190.99.74.45,192.168.1.7,443,43833,UDP,1292
1738812698.749616,190.99.74.45,192.168.1.7,443,43833,UDP,1292
1738812698.749684,190.99.74.45,192.168.1.7,443,43833,UDP,1292
1738812698.750056,190.99.74.45,192.168.1.7,443,43833,UDP,1292
1738812698.750056,190.99.74.45,192.168.1.7,443,43833,UDP,1292
1738812698.75013,190.99.74.45,192.168.1.7,443,43833,UDP,1292
1738812698.750503,190.99.74.45,192.168.1.7,443,43833,UDP,1292
1738812698.750503,190.99.74.45,192.168.1.7,443,43833,UDP,1292
1738812698.750579,190.99.74.45,192.168.1.7,443,43833,UDP,1292
1738812698.750861,192.168.1.7,190.99.74.45,43833,443,UDP,75
1738812698.750954,190.99.74.45,192.168.1.7,443,43833,UDP,1292
1738812698.750954,190.99.74.45,192.168.1.7,443,43833,UDP,1292
1738812698.751022,190.99.74.45,192.168.1.7,443,43833,UDP,1292
1738812698.751385,190.99.74.45,192.168.1.7,443,43833,UDP,1292
1738812698.751385,190.99.74.45,192.168.1.7,443,43833,UDP,1292
1738812698.752017,190.99.74.45,192.168.1.7,443,43833,UDP,1292
1738812698.752018,190.99.74.45,192.168.1.7,443,43833,UDP,1292
1738812698.752213,192.168.1.7,190.99.74.45,43833,443,UDP,80
1738812698.753895,192.168.1.7,190.99.74.45,43833,443,UDP,76
1738812698.755099,190.99.74.45,192.168.1.7,443,43833,UDP,1292
1738812698.7551,190.99.74.45,192.168.1.7,443,43833,UDP,1292
1738812698.755168,190.99.74.45,192.168.1.7,443,43833,UDP,1292
1738812698.755529,190.99.74.45,192.168.1.7,443,43833,UDP,1292
1738812698.755529,190.99.74.45,192.168.1.7,443,43833,UDP,1292
1738812698.755835,190.99.74.45,192.168.1.7,443,43833,UDP,1292
1738812698.755835,190.99.74.45,192.168.1.7,443,43833,UDP,1292
1738812698.755903,190.99.74.45,192.168.1.7,443,43833,UDP,1292
1738812698.756272,190.99.74.45,192.168.1.7,443,43833,UDP,1292
1738812698.756272,190.99.74.45,192.168.1.7,443,43833,UDP,1292
1738812698.756386,192.168.1.7,190.99.74.45,43833,443,UDP,75
1738812698.756553,190.99.74.45,192.168.1.7,443,43833,UDP,1292
1738812698.758016,192.168.1.7,190.99.74.45,43833,443,UDP,76
1738812698.758329,190.99.74.45,192.168.1.7,443,43833,UDP,1292
1738812698.75833,190.99.74.45,192.168.1.7,443,43833,UDP,1292
1738812698.75833,190.99.74.45,192.168.1.7,443,43833,UDP,1292
1738812698.75833,190.99.74.45,192.168.1.7,443,43833,UDP,1292
1738812698.75833,190.99.74.45,192.168.1.7,443,43833,UDP,1292
1738812698.75833,190.99.74.45,192.168.1.7,443,43833,UDP,1292
1738812698.75833,190.99.74.45,192.168.1.7,443,43833,UDP,1292
1738812698.758623,190.99.74.45,192.168.1.7,443,43833,UDP,1292
1738812698.758623,190.99.74.45,192.168.1.7,443,43833,UDP,1292
1738812698.758994,190.99.74.45,192.168.1.7,443,43833,UDP,1292
1738812698.758994,190.99.74.45,192.168.1.7,443,43833,UDP,1292
1738812698.75908,192.168.1.7,190.99.74.45,43833,443,UDP,75
